Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,Customer_Key__c
Aug,4,Wednesday,Chevrolet,Urban,Wednesday,Aug,4,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,5900,4,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-000021
Sep,1,Friday,Honda,Urban,Thursday,Sep,2,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3469,3,500,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Collision,CUST-000103
Jan,1,Thursday,Mazda,Urban,Tuesday,Jan,3,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7121,7,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,CUST-000248
Jan,2,Monday,Toyota,Urban,Wednesday,Jan,2,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12071,15,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-001175
Dec,3,Thursday,Mazda,Urban,Thursday,Dec,4,Male,Married,58,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14832,15,400,1,more than 30,more than 30,none,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-000877
Apr,1,Sunday,Chevrolet,Urban,Thursday,Apr,2,Male,Married,61,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10193,2,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,1 year,1 vehicle,1995,Liability,CUST-000338
May,3,Friday,Chevrolet,Urban,Friday,May,3,Male,Married,53,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2500,8,500,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,2 to 3 years,2 vehicles,1994,Liability,CUST-000717
Aug,1,Thursday,Pontiac,Urban,Tuesday,Sep,2,Female,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1371,5,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000430
Dec,4,Tuesday,Toyota,Urban,Monday,Jan,4,Female,Married,30,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1612,10,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000966
Sep,1,Tuesday,Mazda,Urban,Thursday,Sep,3,Female,Single,30,Third Party,Sedan - Liability,Sport,20000 to 29000,0,3208,12,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-000552
May,4,Monday,Toyota,Urban,Tuesday,May,4,Female,Single,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5759,16,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-000651
Feb,4,Wednesday,Chevrolet,Urban,Friday,Feb,4,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,7074,14,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-000300
May,5,Wednesday,Dodge,Urban,Wednesday,May,5,Female,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15256,13,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-000726
Aug,3,Thursday,Pontiac,Urban,Thursday,Aug,3,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1327,14,500,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,Collision,CUST-001386
Jan,4,Friday,Chevrolet,Urban,Thursday,Jan,4,Male,Single,28,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,737,14,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-001092
Jan,1,Wednesday,Pontiac,Urban,Thursday,Jan,1,Male,Single,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13344,1,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-001311
Feb,4,Tuesday,Pontiac,Urban,Tuesday,Feb,4,Female,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4411,7,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability,CUST-001110
Mar,4,Sunday,Toyota,Urban,Monday,Mar,4,Male,Single,24,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11025,6,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,CUST-000594
Jul,3,Thursday,Pontiac,Urban,Thursday,Jul,3,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11410,5,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-001499
Mar,2,Sunday,Toyota,Urban,Wednesday,Mar,4,Female,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1985,16,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,CUST-000191
Nov,2,Thursday,Mazda,Urban,Thursday,Nov,2,Male,Married,41,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12229,11,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1996,Collision,CUST-001489
Apr,5,Friday,Honda,Urban,Thursday,May,1,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9858,12,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,CUST-001403
May,5,Sunday,Toyota,Urban,Friday,Jun,1,Male,Married,32,Third Party,Sedan - All Perils,Sedan,less than 20000,0,4961,12,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,CUST-000015
Jun,3,Friday,Honda,Urban,Tuesday,Jul,3,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,12472,3,400,3,more than 30,more than 30,none,new,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-001046
Sep,1,Wednesday,Mazda,Urban,Thursday,Sep,2,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,13615,15,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-000738
Apr,3,Saturday,Chevrolet,Urban,Monday,Apr,3,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8518,6,500,1,15 to 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,1 vehicle,1995,Collision,CUST-000026
May,4,Monday,Toyota,Urban,Monday,May,4,Male,Married,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14273,10,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-000089
Dec,2,Friday,Toyota,Urban,Tuesday,Dec,2,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8009,3,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,1 year,1 vehicle,1995,All Perils,CUST-000762
Feb,3,Wednesday,Pontiac,Urban,Friday,Mar,1,Female,Married,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12509,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,CUST-000855
Dec,2,Saturday,Toyota,Urban,Wednesday,Dec,5,Male,Single,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3026,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-001485
Jan,3,Thursday,Toyota,Urban,Thursday,Jan,3,Male,Married,53,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1534,9,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Liability,CUST-001314
Jul,2,Wednesday,Mazda,Urban,Monday,Sep,3,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13156,13,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-000924
Aug,2,Tuesday,Pontiac,Rural,Wednesday,Aug,2,Male,Married,38,Third Party,Utility - All Perils,Utility,40000 to 59000,0,2885,16,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000681
Nov,1,Saturday,Mazda,Urban,Friday,Feb,4,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8880,13,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,CUST-000086
Apr,2,Friday,Toyota,Rural,Wednesday,Apr,3,Male,Single,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2021,6,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-001484
Nov,3,Wednesday,Pontiac,Urban,Tuesday,Nov,4,Male,Single,25,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11005,13,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability,CUST-000861
Oct,5,Sunday,Toyota,Urban,Wednesday,Nov,1,Female,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,7584,6,400,3,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-000212
Jan,5,Saturday,Chevrolet,Urban,Tuesday,Feb,2,Male,Single,68,Third Party,Sedan - All Perils,Sedan,more than 69000,0,4514,5,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,CUST-000550
Aug,2,Monday,Mazda,Rural,Tuesday,Aug,2,Male,Single,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13930,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-000990
Jun,1,Friday,Pontiac,Urban,Monday,Jun,2,Female,Married,44,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9768,16,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-001456
Jun,3,Friday,Pontiac,Urban,Monday,Jun,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,more than 69000,0,7655,12,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,CUST-000957
Mar,2,Tuesday,Mazda,Urban,Thursday,Apr,3,Female,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6546,1,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,CUST-000850
Jan,2,Monday,Pontiac,Urban,Friday,Jan,2,Female,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,151,8,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000140
Oct,4,Monday,Mazda,Rural,Wednesday,Nov,2,Male,Married,49,Policy Holder,Utility - All Perils,Utility,more than 69000,0,412,14,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,CUST-000535
Jun,4,Monday,Pontiac,Urban,Thursday,Jul,3,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5964,12,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-000678
Dec,2,Tuesday,Honda,Rural,Wednesday,Dec,2,Male,Married,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14983,13,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,CUST-000194
Jun,2,Sunday,Pontiac,Urban,Wednesday,Jun,4,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14534,8,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-000014
Jul,3,Monday,Pontiac,Urban,Friday,Jul,4,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4085,4,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,CUST-001481
Jan,3,Monday,Pontiac,Urban,Monday,Jan,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3528,3,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,CUST-000496
Mar,1,Sunday,Pontiac,Urban,Tuesday,Nov,3,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,10947,5,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-000087
Dec,1,Monday,Pontiac,Urban,Monday,Dec,2,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,567,4,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000472
Apr,4,Monday,Toyota,Urban,Wednesday,Apr,4,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6483,10,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,CUST-000049
Mar,4,Thursday,Mazda,Urban,Thursday,Mar,4,Female,Single,24,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10996,7,400,3,more than 30,more than 30,none,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-000038
May,3,Wednesday,Honda,Rural,Wednesday,May,4,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3129,13,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,CUST-001307
Nov,5,Tuesday,Pontiac,Rural,Thursday,Dec,5,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12891,5,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-001457
Feb,2,Tuesday,Honda,Urban,Wednesday,Feb,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,9931,7,400,2,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-001214
Mar,3,Wednesday,Pontiac,Urban,Thursday,Mar,3,Female,Single,33,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9356,10,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,CUST-001422
May,5,Tuesday,Toyota,Urban,Thursday,Jun,1,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,7182,12,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-001187
Nov,1,Friday,Ford,Urban,Tuesday,Nov,2,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,10873,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,CUST-000060
Aug,4,Wednesday,Mazda,Urban,Tuesday,Sep,3,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9747,6,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-001375
Nov,1,Thursday,Toyota,Urban,Thursday,Jan,1,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9240,16,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-001179
Mar,3,Thursday,Chevrolet,Rural,Monday,Mar,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,10851,14,700,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-001340
May,1,Thursday,Pontiac,Urban,Thursday,May,1,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14072,3,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-001100
Nov,3,Friday,Honda,Urban,Friday,Nov,3,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,8092,11,700,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-001327
May,2,Tuesday,Chevrolet,Urban,Friday,May,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9881,7,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-000702
Oct,3,Saturday,Toyota,Urban,Thursday,Oct,3,Male,Single,35,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6522,4,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,CUST-001478
Dec,1,Sunday,Honda,Urban,Tuesday,Dec,1,Female,Married,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1011,16,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,CUST-000772
Feb,3,Monday,Honda,Urban,Friday,May,2,Female,Single,34,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1412,4,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-001349
Feb,4,Saturday,Honda,Urban,Tuesday,Mar,1,Male,Single,22,Policy Holder,Sport - Collision,Sport,more than 69000,1,1599,7,400,4,8 to 15,15 to 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-001162
Nov,2,Wednesday,Toyota,Urban,Thursday,Nov,2,Male,Married,59,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5445,5,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000485
Apr,1,Monday,Honda,Urban,Monday,Apr,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9306,2,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-000394
Jul,3,Wednesday,Pontiac,Rural,Wednesday,Jul,3,Male,Single,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4065,15,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000753
Feb,4,Sunday,Chevrolet,Urban,Friday,Apr,5,Male,Married,22,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11240,9,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-001455
Mar,5,Wednesday,Mazda,Urban,Wednesday,Apr,1,Male,Married,37,Third Party,Sedan - Liability,Sport,20000 to 29000,0,13284,14,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,CUST-000928
Jun,1,Friday,Mazda,Urban,Monday,Jun,2,Male,Married,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2100,3,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000469
Aug,4,Friday,Ford,Urban,Friday,Aug,4,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,5941,5,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-001225
Oct,4,Saturday,VW,Urban,Monday,Oct,4,Female,Widow,43,Policy Holder,Sedan - Collision,Sedan,60000 to 69000,0,3551,4,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,Internal,none,no change,1 vehicle,1994,Collision,CUST-001317
May,5,Wednesday,Honda,Urban,Thursday,Jun,2,Female,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4316,5,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,CUST-000494
Jun,4,Thursday,Toyota,Urban,Monday,Jul,1,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,4661,9,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,CUST-001382
Mar,5,Wednesday,Mazda,Urban,Friday,Mar,5,Male,Married,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12115,13,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-000330
Dec,1,Thursday,Toyota,Urban,Monday,Dec,2,Male,Married,52,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,2309,10,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-000417
May,2,Sunday,Pontiac,Urban,Tuesday,May,2,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1804,8,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000654
Apr,4,Monday,Honda,Urban,Tuesday,May,1,Male,Married,30,Third Party,Sedan - Liability,Sport,more than 69000,0,20,2,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-000403
Jul,2,Wednesday,Mazda,Urban,Monday,Jul,2,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3972,11,400,3,15 to 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000453
Oct,1,Monday,Toyota,Urban,Thursday,Oct,2,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8202,1,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-000722
Jan,2,Friday,Honda,Urban,Monday,Jan,4,Male,Married,79,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5334,5,400,3,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-000561
Nov,3,Tuesday,Honda,Urban,Wednesday,Dec,3,Male,Married,29,Third Party,Sedan - Collision,Sedan,less than 20000,0,896,16,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-000134
Nov,3,Sunday,Dodge,Urban,Tuesday,Nov,4,Female,Single,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,15411,10,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-001268
