PolicyNumber,Customer_Key__c,Identification_Name,Identification_Type
2309,CUST-000417,Bancassurance_Key,Custom
1804,CUST-000654,Bancassurance_Key,Custom
20,CUST-000403,Bancassurance_Key,Custom
3972,CUST-000453,Bancassurance_Key,Custom
8202,CUST-000722,Bancassurance_Key,Custom
5334,CUST-000561,Bancassurance_Key,Custom
896,CUST-000134,Bancassurance_Key,Custom
15411,CUST-001268,Bancassurance_Key,Custom
2055,CUST-000918,Bancassurance_Key,Custom
13837,CUST-000333,Bancassurance_Key,Custom
100,CUST-000092,Bancassurance_Key,Custom
5615,CUST-001463,Bancassurance_Key,Custom
5776,CUST-000612,Bancassurance_Key,Custom
14773,CUST-001101,Bancassurance_Key,Custom
1091,CUST-000519,Bancassurance_Key,Custom
13238,CUST-000986,Bancassurance_Key,Custom
5313,CUST-000867,Bancassurance_Key,Custom
7810,CUST-000068,Bancassurance_Key,Custom
2440,CUST-001060,Bancassurance_Key,Custom
7498,CUST-000289,Bancassurance_Key,Custom
13799,CUST-001191,Bancassurance_Key,Custom
14768,CUST-000428,Bancassurance_Key,Custom
11827,CUST-001423,Bancassurance_Key,Custom
7502,CUST-000743,Bancassurance_Key,Custom
1684,CUST-000001,Bancassurance_Key,Custom
5538,CUST-001039,Bancassurance_Key,Custom
13162,CUST-001197,Bancassurance_Key,Custom
12974,CUST-000710,Bancassurance_Key,Custom
2326,CUST-000874,Bancassurance_Key,Custom
14681,CUST-000879,Bancassurance_Key,Custom
5280,CUST-001072,Bancassurance_Key,Custom
2406,CUST-000008,Bancassurance_Key,Custom
5854,CUST-000364,Bancassurance_Key,Custom
6909,CUST-000976,Bancassurance_Key,Custom
8944,CUST-000727,Bancassurance_Key,Custom
8930,CUST-000750,Bancassurance_Key,Custom
4709,CUST-000604,Bancassurance_Key,Custom
9605,CUST-000143,Bancassurance_Key,Custom
5164,CUST-000131,Bancassurance_Key,Custom
8479,CUST-000443,Bancassurance_Key,Custom
2806,CUST-000498,Bancassurance_Key,Custom
252,CUST-000583,Bancassurance_Key,Custom
14847,CUST-000033,Bancassurance_Key,Custom
5170,CUST-001436,Bancassurance_Key,Custom
12681,CUST-001253,Bancassurance_Key,Custom
3985,CUST-000559,Bancassurance_Key,Custom
4636,CUST-000562,Bancassurance_Key,Custom
15240,CUST-000971,Bancassurance_Key,Custom
4334,CUST-000745,Bancassurance_Key,Custom
12961,CUST-001128,Bancassurance_Key,Custom
10775,CUST-001390,Bancassurance_Key,Custom
908,CUST-001206,Bancassurance_Key,Custom
765,CUST-000233,Bancassurance_Key,Custom
11403,CUST-000677,Bancassurance_Key,Custom
10680,CUST-000698,Bancassurance_Key,Custom
6393,CUST-000163,Bancassurance_Key,Custom
13703,CUST-001292,Bancassurance_Key,Custom
14728,CUST-000998,Bancassurance_Key,Custom
6699,CUST-001244,Bancassurance_Key,Custom
543,CUST-000704,Bancassurance_Key,Custom
5533,CUST-001271,Bancassurance_Key,Custom
7496,CUST-001125,Bancassurance_Key,Custom
103,CUST-000114,Bancassurance_Key,Custom
9882,CUST-000280,Bancassurance_Key,Custom
14211,CUST-001056,Bancassurance_Key,Custom
7048,CUST-000978,Bancassurance_Key,Custom
926,CUST-000849,Bancassurance_Key,Custom
14196,CUST-000858,Bancassurance_Key,Custom
9683,CUST-000644,Bancassurance_Key,Custom
13528,CUST-001260,Bancassurance_Key,Custom
5380,CUST-000885,Bancassurance_Key,Custom
4640,CUST-000782,Bancassurance_Key,Custom
12923,CUST-001414,Bancassurance_Key,Custom
15238,CUST-000673,Bancassurance_Key,Custom
5218,CUST-001453,Bancassurance_Key,Custom
12546,CUST-001442,Bancassurance_Key,Custom
14404,CUST-001195,Bancassurance_Key,Custom
5454,CUST-000413,Bancassurance_Key,Custom
6132,CUST-000992,Bancassurance_Key,Custom
4689,CUST-000487,Bancassurance_Key,Custom
5606,CUST-001047,Bancassurance_Key,Custom
388,CUST-000614,Bancassurance_Key,Custom
11504,CUST-001281,Bancassurance_Key,Custom
8194,CUST-000775,Bancassurance_Key,Custom
7643,CUST-001124,Bancassurance_Key,Custom
11489,CUST-000532,Bancassurance_Key,Custom
12084,CUST-000709,Bancassurance_Key,Custom
8280,CUST-001365,Bancassurance_Key,Custom
14518,CUST-000093,Bancassurance_Key,Custom
9001,CUST-000530,Bancassurance_Key,Custom
6386,CUST-000285,Bancassurance_Key,Custom
14888,CUST-000574,Bancassurance_Key,Custom
5113,CUST-001018,Bancassurance_Key,Custom
11414,CUST-000558,Bancassurance_Key,Custom
5715,CUST-000618,Bancassurance_Key,Custom
12311,CUST-000241,Bancassurance_Key,Custom
11686,CUST-001477,Bancassurance_Key,Custom
8129,CUST-000048,Bancassurance_Key,Custom
9312,CUST-000571,Bancassurance_Key,Custom
8410,CUST-001055,Bancassurance_Key,Custom
5002,CUST-000900,Bancassurance_Key,Custom
8993,CUST-000427,Bancassurance_Key,Custom
7051,CUST-000764,Bancassurance_Key,Custom
8288,CUST-000187,Bancassurance_Key,Custom
4922,CUST-000974,Bancassurance_Key,Custom
6596,CUST-000004,Bancassurance_Key,Custom
8541,CUST-000318,Bancassurance_Key,Custom
9002,CUST-001254,Bancassurance_Key,Custom
2679,CUST-001310,Bancassurance_Key,Custom
5035,CUST-001041,Bancassurance_Key,Custom
6106,CUST-000950,Bancassurance_Key,Custom
3942,CUST-000360,Bancassurance_Key,Custom
6735,CUST-001027,Bancassurance_Key,Custom
10326,CUST-000946,Bancassurance_Key,Custom
14346,CUST-000713,Bancassurance_Key,Custom
7683,CUST-000983,Bancassurance_Key,Custom
14890,CUST-001085,Bancassurance_Key,Custom
13230,CUST-000514,Bancassurance_Key,Custom
13048,CUST-000211,Bancassurance_Key,Custom
8086,CUST-000626,Bancassurance_Key,Custom
7204,CUST-000554,Bancassurance_Key,Custom
3718,CUST-001433,Bancassurance_Key,Custom
9996,CUST-001017,Bancassurance_Key,Custom
13977,CUST-000813,Bancassurance_Key,Custom
2586,CUST-001020,Bancassurance_Key,Custom
10070,CUST-000206,Bancassurance_Key,Custom
5939,CUST-000258,Bancassurance_Key,Custom
11962,CUST-000180,Bancassurance_Key,Custom
12501,CUST-000448,Bancassurance_Key,Custom
3753,CUST-000283,Bancassurance_Key,Custom
6073,CUST-000113,Bancassurance_Key,Custom
14851,CUST-000637,Bancassurance_Key,Custom
4090,CUST-000201,Bancassurance_Key,Custom
14052,CUST-000864,Bancassurance_Key,Custom
904,CUST-000225,Bancassurance_Key,Custom
14791,CUST-000154,Bancassurance_Key,Custom
14787,CUST-000985,Bancassurance_Key,Custom
13204,CUST-001023,Bancassurance_Key,Custom
14384,CUST-000229,Bancassurance_Key,Custom
1374,CUST-000459,Bancassurance_Key,Custom
4448,CUST-000311,Bancassurance_Key,Custom
9734,CUST-000995,Bancassurance_Key,Custom
13286,CUST-001000,Bancassurance_Key,Custom
2484,CUST-001355,Bancassurance_Key,Custom
2849,CUST-000906,Bancassurance_Key,Custom
15182,CUST-000735,Bancassurance_Key,Custom
933,CUST-000887,Bancassurance_Key,Custom
13259,CUST-001127,Bancassurance_Key,Custom
14359,CUST-001498,Bancassurance_Key,Custom
12287,CUST-001012,Bancassurance_Key,Custom
13482,CUST-000944,Bancassurance_Key,Custom
340,CUST-001025,Bancassurance_Key,Custom
7636,CUST-000504,Bancassurance_Key,Custom
9736,CUST-000910,Bancassurance_Key,Custom
9788,CUST-000679,Bancassurance_Key,Custom
6108,CUST-001359,Bancassurance_Key,Custom
11968,CUST-001201,Bancassurance_Key,Custom
89,CUST-000913,Bancassurance_Key,Custom
8206,CUST-001416,Bancassurance_Key,Custom
9944,CUST-000011,Bancassurance_Key,Custom
2271,CUST-000513,Bancassurance_Key,Custom
1214,CUST-000175,Bancassurance_Key,Custom
11883,CUST-000387,Bancassurance_Key,Custom
851,CUST-000465,Bancassurance_Key,Custom
1271,CUST-000807,Bancassurance_Key,Custom
15049,CUST-000512,Bancassurance_Key,Custom
1731,CUST-000544,Bancassurance_Key,Custom
6210,CUST-001467,Bancassurance_Key,Custom
10537,CUST-001313,Bancassurance_Key,Custom
2862,CUST-000327,Bancassurance_Key,Custom
7172,CUST-000886,Bancassurance_Key,Custom
8840,CUST-001086,Bancassurance_Key,Custom
12042,CUST-000945,Bancassurance_Key,Custom
11628,CUST-001427,Bancassurance_Key,Custom
4074,CUST-000630,Bancassurance_Key,Custom
5624,CUST-001356,Bancassurance_Key,Custom
3899,CUST-000915,Bancassurance_Key,Custom
8611,CUST-000400,Bancassurance_Key,Custom
3071,CUST-001419,Bancassurance_Key,Custom
6946,CUST-001299,Bancassurance_Key,Custom
13555,CUST-000337,Bancassurance_Key,Custom
2674,CUST-001367,Bancassurance_Key,Custom
4075,CUST-000296,Bancassurance_Key,Custom
2454,CUST-000455,Bancassurance_Key,Custom
1954,CUST-000081,Bancassurance_Key,Custom
1200,CUST-000035,Bancassurance_Key,Custom
7714,CUST-000234,Bancassurance_Key,Custom
3270,CUST-001428,Bancassurance_Key,Custom
5628,CUST-000905,Bancassurance_Key,Custom
915,CUST-000840,Bancassurance_Key,Custom
4107,CUST-000192,Bancassurance_Key,Custom
4442,CUST-000536,Bancassurance_Key,Custom
13083,CUST-000718,Bancassurance_Key,Custom
4982,CUST-000970,Bancassurance_Key,Custom
7800,CUST-000696,Bancassurance_Key,Custom
2026,CUST-000166,Bancassurance_Key,Custom
10209,CUST-000936,Bancassurance_Key,Custom
14987,CUST-000480,Bancassurance_Key,Custom
2086,CUST-000751,Bancassurance_Key,Custom
13573,CUST-001353,Bancassurance_Key,Custom
48,CUST-000929,Bancassurance_Key,Custom
12518,CUST-001438,Bancassurance_Key,Custom
7801,CUST-000075,Bancassurance_Key,Custom
11267,CUST-001318,Bancassurance_Key,Custom
9377,CUST-000492,Bancassurance_Key,Custom
12661,CUST-001424,Bancassurance_Key,Custom
12063,CUST-000440,Bancassurance_Key,Custom
7303,CUST-001032,Bancassurance_Key,Custom
885,CUST-000331,Bancassurance_Key,Custom
10394,CUST-001111,Bancassurance_Key,Custom
3308,CUST-000621,Bancassurance_Key,Custom
10561,CUST-000013,Bancassurance_Key,Custom
6490,CUST-000200,Bancassurance_Key,Custom
1625,CUST-001312,Bancassurance_Key,Custom
11051,CUST-001121,Bancassurance_Key,Custom
13069,CUST-001234,Bancassurance_Key,Custom
11236,CUST-001091,Bancassurance_Key,Custom
5929,CUST-000399,Bancassurance_Key,Custom
6897,CUST-000251,Bancassurance_Key,Custom
6780,CUST-000240,Bancassurance_Key,Custom
14648,CUST-000290,Bancassurance_Key,Custom
4154,CUST-000018,Bancassurance_Key,Custom
5747,CUST-000526,Bancassurance_Key,Custom
14332,CUST-001223,Bancassurance_Key,Custom
6926,CUST-000794,Bancassurance_Key,Custom
14447,CUST-000408,Bancassurance_Key,Custom
2928,CUST-000445,Bancassurance_Key,Custom
9246,CUST-001028,Bancassurance_Key,Custom
2914,CUST-001019,Bancassurance_Key,Custom
3690,CUST-001097,Bancassurance_Key,Custom
11201,CUST-001458,Bancassurance_Key,Custom
13883,CUST-001209,Bancassurance_Key,Custom
9607,CUST-000903,Bancassurance_Key,Custom
12225,CUST-000517,Bancassurance_Key,Custom
14024,CUST-001156,Bancassurance_Key,Custom
7686,CUST-000501,Bancassurance_Key,Custom
4994,CUST-000759,Bancassurance_Key,Custom
7277,CUST-000769,Bancassurance_Key,Custom
5658,CUST-000793,Bancassurance_Key,Custom
14350,CUST-000531,Bancassurance_Key,Custom
8674,CUST-000770,Bancassurance_Key,Custom
11148,CUST-001157,Bancassurance_Key,Custom
1351,CUST-001113,Bancassurance_Key,Custom
11342,CUST-000645,Bancassurance_Key,Custom
3430,CUST-000373,Bancassurance_Key,Custom
9179,CUST-001288,Bancassurance_Key,Custom
2678,CUST-000958,Bancassurance_Key,Custom
14938,CUST-001459,Bancassurance_Key,Custom
1120,CUST-000664,Bancassurance_Key,Custom
2684,CUST-000908,Bancassurance_Key,Custom
12457,CUST-000102,Bancassurance_Key,Custom
13828,CUST-001040,Bancassurance_Key,Custom
1563,CUST-000041,Bancassurance_Key,Custom
2999,CUST-000952,Bancassurance_Key,Custom
9979,CUST-000362,Bancassurance_Key,Custom
2519,CUST-001119,Bancassurance_Key,Custom
9177,CUST-000852,Bancassurance_Key,Custom
7307,CUST-001255,Bancassurance_Key,Custom
7526,CUST-001207,Bancassurance_Key,Custom
7199,CUST-001170,Bancassurance_Key,Custom
4099,CUST-000276,Bancassurance_Key,Custom
1618,CUST-000246,Bancassurance_Key,Custom
13062,CUST-001304,Bancassurance_Key,Custom
3121,CUST-000321,Bancassurance_Key,Custom
7913,CUST-000220,Bancassurance_Key,Custom
15126,CUST-001306,Bancassurance_Key,Custom
10503,CUST-001238,Bancassurance_Key,Custom
2933,CUST-001246,Bancassurance_Key,Custom
931,CUST-001036,Bancassurance_Key,Custom
1749,CUST-000116,Bancassurance_Key,Custom
14001,CUST-000207,Bancassurance_Key,Custom
3659,CUST-001075,Bancassurance_Key,Custom
10370,CUST-000744,Bancassurance_Key,Custom
13803,CUST-001088,Bancassurance_Key,Custom
5557,CUST-001256,Bancassurance_Key,Custom
12738,CUST-001151,Bancassurance_Key,Custom
6473,CUST-001228,Bancassurance_Key,Custom
12263,CUST-000897,Bancassurance_Key,Custom
15346,CUST-000582,Bancassurance_Key,Custom
12807,CUST-000619,Bancassurance_Key,Custom
8425,CUST-000715,Bancassurance_Key,Custom
3647,CUST-001392,Bancassurance_Key,Custom
2544,CUST-000398,Bancassurance_Key,Custom
380,CUST-000940,Bancassurance_Key,Custom
1023,CUST-000563,Bancassurance_Key,Custom
8615,CUST-001226,Bancassurance_Key,Custom
3291,CUST-001343,Bancassurance_Key,Custom
11839,CUST-000383,Bancassurance_Key,Custom
837,CUST-000624,Bancassurance_Key,Custom
10689,CUST-000385,Bancassurance_Key,Custom
5352,CUST-000267,Bancassurance_Key,Custom
11371,CUST-001241,Bancassurance_Key,Custom
12274,CUST-000353,Bancassurance_Key,Custom
6703,CUST-000627,Bancassurance_Key,Custom
8639,CUST-001341,Bancassurance_Key,Custom
11516,CUST-000255,Bancassurance_Key,Custom
10974,CUST-000954,Bancassurance_Key,Custom
6873,CUST-000425,Bancassurance_Key,Custom
14780,CUST-001068,Bancassurance_Key,Custom
4849,CUST-000921,Bancassurance_Key,Custom
13335,CUST-000659,Bancassurance_Key,Custom
9508,CUST-001164,Bancassurance_Key,Custom
10646,CUST-001331,Bancassurance_Key,Custom
6903,CUST-001213,Bancassurance_Key,Custom
6265,CUST-000281,Bancassurance_Key,Custom
150,CUST-001106,Bancassurance_Key,Custom
512,CUST-001069,Bancassurance_Key,Custom
5221,CUST-000386,Bancassurance_Key,Custom
3022,CUST-001094,Bancassurance_Key,Custom
12296,CUST-000423,Bancassurance_Key,Custom
5081,CUST-000569,Bancassurance_Key,Custom
4465,CUST-000106,Bancassurance_Key,Custom
5099,CUST-001385,Bancassurance_Key,Custom
15043,CUST-001466,Bancassurance_Key,Custom
15079,CUST-000499,Bancassurance_Key,Custom
5041,CUST-000474,Bancassurance_Key,Custom
8679,CUST-000481,Bancassurance_Key,Custom
9351,CUST-000622,Bancassurance_Key,Custom
1808,CUST-001145,Bancassurance_Key,Custom
13570,CUST-000215,Bancassurance_Key,Custom
14667,CUST-001387,Bancassurance_Key,Custom
5655,CUST-000095,Bancassurance_Key,Custom
14609,CUST-001366,Bancassurance_Key,Custom
170,CUST-000345,Bancassurance_Key,Custom
10892,CUST-000555,Bancassurance_Key,Custom
12336,CUST-000956,Bancassurance_Key,Custom
14992,CUST-000217,Bancassurance_Key,Custom
15129,CUST-001150,Bancassurance_Key,Custom
759,CUST-000477,Bancassurance_Key,Custom
14656,CUST-000515,Bancassurance_Key,Custom
12502,CUST-000792,Bancassurance_Key,Custom
10724,CUST-000297,Bancassurance_Key,Custom
13194,CUST-000925,Bancassurance_Key,Custom
3249,CUST-000146,Bancassurance_Key,Custom
10043,CUST-001229,Bancassurance_Key,Custom
14905,CUST-000279,Bancassurance_Key,Custom
12473,CUST-001374,Bancassurance_Key,Custom
7230,CUST-000214,Bancassurance_Key,Custom
15102,CUST-001061,Bancassurance_Key,Custom
10846,CUST-000632,Bancassurance_Key,Custom
3577,CUST-001302,Bancassurance_Key,Custom
13305,CUST-000941,Bancassurance_Key,Custom
477,CUST-001081,Bancassurance_Key,Custom
8627,CUST-000539,Bancassurance_Key,Custom
13602,CUST-001452,Bancassurance_Key,Custom
14445,CUST-000695,Bancassurance_Key,Custom
9606,CUST-000202,Bancassurance_Key,Custom
9956,CUST-000073,Bancassurance_Key,Custom
14014,CUST-000646,Bancassurance_Key,Custom
14161,CUST-000236,Bancassurance_Key,Custom
10983,CUST-001305,Bancassurance_Key,Custom
14345,CUST-001482,Bancassurance_Key,Custom
5287,CUST-000268,Bancassurance_Key,Custom
352,CUST-000511,Bancassurance_Key,Custom
5310,CUST-001418,Bancassurance_Key,Custom
14930,CUST-000724,Bancassurance_Key,Custom
15071,CUST-001026,Bancassurance_Key,Custom
9813,CUST-001038,Bancassurance_Key,Custom
3012,CUST-000611,Bancassurance_Key,Custom
12831,CUST-001093,Bancassurance_Key,Custom
11478,CUST-000666,Bancassurance_Key,Custom
5426,CUST-001034,Bancassurance_Key,Custom
4058,CUST-000149,Bancassurance_Key,Custom
12646,CUST-000007,Bancassurance_Key,Custom
4521,CUST-000798,Bancassurance_Key,Custom
3981,CUST-000556,Bancassurance_Key,Custom
14522,CUST-000122,Bancassurance_Key,Custom
2860,CUST-001063,Bancassurance_Key,Custom
3483,CUST-000036,Bancassurance_Key,Custom
1535,CUST-001044,Bancassurance_Key,Custom
14830,CUST-001398,Bancassurance_Key,Custom
9714,CUST-000901,Bancassurance_Key,Custom
3070,CUST-001470,Bancassurance_Key,Custom
6498,CUST-000788,Bancassurance_Key,Custom
6866,CUST-000471,Bancassurance_Key,Custom
1741,CUST-001363,Bancassurance_Key,Custom
15010,CUST-000227,Bancassurance_Key,Custom
13906,CUST-001421,Bancassurance_Key,Custom
13262,CUST-000703,Bancassurance_Key,Custom
5043,CUST-001369,Bancassurance_Key,Custom
4251,CUST-000787,Bancassurance_Key,Custom
7459,CUST-000257,Bancassurance_Key,Custom
12924,CUST-000602,Bancassurance_Key,Custom
2479,CUST-001235,Bancassurance_Key,Custom
4304,CUST-001476,Bancassurance_Key,Custom
12294,CUST-001242,Bancassurance_Key,Custom
5130,CUST-001371,Bancassurance_Key,Custom
4920,CUST-001285,Bancassurance_Key,Custom
13244,CUST-001168,Bancassurance_Key,Custom
15135,CUST-000072,Bancassurance_Key,Custom
1715,CUST-000814,Bancassurance_Key,Custom
3107,CUST-000884,Bancassurance_Key,Custom
3828,CUST-001182,Bancassurance_Key,Custom
9225,CUST-000031,Bancassurance_Key,Custom
14568,CUST-000374,Bancassurance_Key,Custom
4677,CUST-000697,Bancassurance_Key,Custom
3394,CUST-001177,Bancassurance_Key,Custom
10072,CUST-000820,Bancassurance_Key,Custom
12862,CUST-000829,Bancassurance_Key,Custom
11064,CUST-001165,Bancassurance_Key,Custom
8159,CUST-000948,Bancassurance_Key,Custom
11327,CUST-001266,Bancassurance_Key,Custom
12982,CUST-001475,Bancassurance_Key,Custom
2702,CUST-001233,Bancassurance_Key,Custom
1685,CUST-001395,Bancassurance_Key,Custom
15365,CUST-000012,Bancassurance_Key,Custom
12462,CUST-001479,Bancassurance_Key,Custom
3814,CUST-000573,Bancassurance_Key,Custom
7029,CUST-000503,Bancassurance_Key,Custom
14352,CUST-000415,Bancassurance_Key,Custom
9266,CUST-INS-000001,Bancassurance_Key,Custom
736,CUST-INS-000002,Bancassurance_Key,Custom
8743,CUST-INS-000003,Bancassurance_Key,Custom
10997,CUST-INS-000004,Bancassurance_Key,Custom
7485,CUST-INS-000005,Bancassurance_Key,Custom
9555,CUST-INS-000006,Bancassurance_Key,Custom
4983,CUST-INS-000007,Bancassurance_Key,Custom
8688,CUST-INS-000008,Bancassurance_Key,Custom
8547,CUST-INS-000009,Bancassurance_Key,Custom
10743,CUST-INS-000010,Bancassurance_Key,Custom
9726,CUST-INS-000011,Bancassurance_Key,Custom
9249,CUST-INS-000012,Bancassurance_Key,Custom
10859,CUST-INS-000013,Bancassurance_Key,Custom
10114,CUST-INS-000014,Bancassurance_Key,Custom
15034,CUST-INS-000015,Bancassurance_Key,Custom
7657,CUST-INS-000016,Bancassurance_Key,Custom
9361,CUST-INS-000017,Bancassurance_Key,Custom
1373,CUST-INS-000018,Bancassurance_Key,Custom
12404,CUST-INS-000019,Bancassurance_Key,Custom
11814,CUST-INS-000020,Bancassurance_Key,Custom
11020,CUST-INS-000021,Bancassurance_Key,Custom
10013,CUST-INS-000022,Bancassurance_Key,Custom
12554,CUST-INS-000023,Bancassurance_Key,Custom
12946,CUST-INS-000024,Bancassurance_Key,Custom
14178,CUST-INS-000025,Bancassurance_Key,Custom
13934,CUST-INS-000026,Bancassurance_Key,Custom
1548,CUST-INS-000027,Bancassurance_Key,Custom
12204,CUST-INS-000028,Bancassurance_Key,Custom
4238,CUST-INS-000029,Bancassurance_Key,Custom
14245,CUST-INS-000030,Bancassurance_Key,Custom
11745,CUST-INS-000031,Bancassurance_Key,Custom
9287,CUST-INS-000032,Bancassurance_Key,Custom
13955,CUST-INS-000033,Bancassurance_Key,Custom
6835,CUST-INS-000034,Bancassurance_Key,Custom
9872,CUST-INS-000035,Bancassurance_Key,Custom
7101,CUST-INS-000036,Bancassurance_Key,Custom
13662,CUST-INS-000037,Bancassurance_Key,Custom
14684,CUST-INS-000038,Bancassurance_Key,Custom
9017,CUST-INS-000039,Bancassurance_Key,Custom
9153,CUST-INS-000040,Bancassurance_Key,Custom
7290,CUST-INS-000041,Bancassurance_Key,Custom
8385,CUST-INS-000042,Bancassurance_Key,Custom
6558,CUST-INS-000043,Bancassurance_Key,Custom
6861,CUST-INS-000044,Bancassurance_Key,Custom
10991,CUST-INS-000045,Bancassurance_Key,Custom
3617,CUST-INS-000046,Bancassurance_Key,Custom
14195,CUST-INS-000047,Bancassurance_Key,Custom
10477,CUST-INS-000048,Bancassurance_Key,Custom
15371,CUST-INS-000049,Bancassurance_Key,Custom
15277,CUST-INS-000050,Bancassurance_Key,Custom
12777,CUST-INS-000051,Bancassurance_Key,Custom
7114,CUST-INS-000052,Bancassurance_Key,Custom
4505,CUST-INS-000053,Bancassurance_Key,Custom
1108,CUST-INS-000054,Bancassurance_Key,Custom
1714,CUST-INS-000055,Bancassurance_Key,Custom
3209,CUST-INS-000056,Bancassurance_Key,Custom
9454,CUST-INS-000057,Bancassurance_Key,Custom
10077,CUST-INS-000058,Bancassurance_Key,Custom
10827,CUST-INS-000059,Bancassurance_Key,Custom
4837,CUST-INS-000060,Bancassurance_Key,Custom
9574,CUST-INS-000061,Bancassurance_Key,Custom
2537,CUST-INS-000062,Bancassurance_Key,Custom
8243,CUST-INS-000063,Bancassurance_Key,Custom
14150,CUST-INS-000064,Bancassurance_Key,Custom
9677,CUST-INS-000065,Bancassurance_Key,Custom
14545,CUST-INS-000066,Bancassurance_Key,Custom
8601,CUST-INS-000067,Bancassurance_Key,Custom
7882,CUST-INS-000068,Bancassurance_Key,Custom
7169,CUST-INS-000069,Bancassurance_Key,Custom
294,CUST-INS-000070,Bancassurance_Key,Custom
8881,CUST-INS-000071,Bancassurance_Key,Custom
7189,CUST-INS-000072,Bancassurance_Key,Custom
903,CUST-INS-000073,Bancassurance_Key,Custom
